,Gene_stable_ID,Gene_stable_ID_version,Gene_name,Display_name,ENSP
0,ENSG00000000419,ENSG00000000419.14,DPM1,DPM1,ENSP00000360644
1,ENSG00000000457,ENSG00000000457.14,SCYL3,SCYL3,ENSP00000356746
2,ENSG00000000460,ENSG00000000460.17,C1orf112,C1orf112,ENSP00000286031
3,ENSG00000000938,ENSG00000000938.13,FGR,FGR,ENSP00000363117
4,ENSG00000001036,ENSG00000001036.14,FUCA2,FUCA2,ENSP00000002165
5,ENSG00000001084,ENSG00000001084.13,GCLC,GCLC,ENSP00000229416
6,ENSG00000001167,ENSG00000001167.15,NFYA,NFYA,ENSP00000345702
7,ENSG00000001460,ENSG00000001460.18,STPG1,STPG1,ENSP00000363530
8,ENSG00000001461,ENSG00000001461.17,NIPAL3,NIPAL3,ENSP00000363520
9,ENSG00000001497,ENSG00000001497.18,LAS1L,LAS1L,ENSP00000363944
10,ENSG00000001561,ENSG00000001561.7,ENPP4,ENPP4,ENSP00000318066
11,ENSG00000001629,ENSG00000001629.10,ANKIB1,ANKIB1,ENSP00000265742
12,ENSG00000001630,ENSG00000001630.17,CYP51A1,CYP51A1,ENSP00000003100
13,ENSG00000001631,ENSG00000001631.16,KRIT1,KRIT1,ENSP00000378015
14,ENSG00000002016,ENSG00000002016.18,RAD52,RAD52,ENSP00000351284
15,ENSG00000002330,ENSG00000002330.14,BAD,BAD,ENSP00000378040
16,ENSG00000002549,ENSG00000002549.13,LAP3,LAP3,ENSP00000226299
17,ENSG00000002586,ENSG00000002586.20,CD99,CD99,ENSP00000370588
18,ENSG00000002822,ENSG00000002822.16,MAD1L1,MAD1L1,ENSP00000385334
19,ENSG00000002834,ENSG00000002834.18,LASP1,LASP1,ENSP00000325240
20,ENSG00000002919,ENSG00000002919.15,SNX11,SNX11,ENSP00000377059
21,ENSG00000003056,ENSG00000003056.8,M6PR,M6PR,ENSP00000000412
22,ENSG00000003147,ENSG00000003147.19,ICA1,ICA1,ENSP00000385570
23,ENSG00000003393,ENSG00000003393.16,ALS2,ALS2,ENSP00000264276
24,ENSG00000003400,ENSG00000003400.15,CASP10,CASP10,ENSP00000286186
25,ENSG00000003402,ENSG00000003402.20,CFLAR,CFLAR,ENSP00000312455
26,ENSG00000003509,ENSG00000003509.16,NDUFAF7,NDUFAF7,ENSP00000002125
27,ENSG00000003756,ENSG00000003756.17,RBM5,RBM5,ENSP00000343054
28,ENSG00000004059,ENSG00000004059.11,ARF5,ARF5,ENSP00000000233
29,ENSG00000004139,ENSG00000004139.14,SARM1,SARM1,ENSP00000468032
30,ENSG00000004142,ENSG00000004142.12,POLDIP2,POLDIP2,ENSP00000475924
31,ENSG00000004455,ENSG00000004455.17,AK2,AK2,ENSP00000346921
32,ENSG00000004468,ENSG00000004468.13,CD38,CD38,ENSP00000226279
33,ENSG00000004478,ENSG00000004478.8,FKBP4,FKBP4,ENSP00000001008
34,ENSG00000004487,ENSG00000004487.17,KDM1A,KDM1A,ENSP00000383042
35,ENSG00000004534,ENSG00000004534.15,RBM6,RBM6,ENSP00000266022
36,ENSG00000004660,ENSG00000004660.15,CAMKK1,CAMKK1,ENSP00000158166
37,ENSG00000004700,ENSG00000004700.16,RECQL,RECQL,ENSP00000416739
38,ENSG00000004777,ENSG00000004777.18,ARHGAP33,ARHGAP33,ENSP00000320038
39,ENSG00000004779,ENSG00000004779.10,NDUFAB1,NDUFAB1,ENSP00000458770
40,ENSG00000004864,ENSG00000004864.14,SLC25A13,SLC25A13,ENSP00000400101
41,ENSG00000004866,ENSG00000004866.22,ST7,ST7,ENSP00000265437
42,ENSG00000004897,ENSG00000004897.12,CDC27,CDC27,ENSP00000434614
43,ENSG00000004961,ENSG00000004961.15,HCCS,HCCS,ENSP00000326579
44,ENSG00000004975,ENSG00000004975.12,DVL2,DVL2,ENSP00000005340
45,ENSG00000005007,ENSG00000005007.13,UPF1,UPF1,ENSP00000470142
46,ENSG00000005020,ENSG00000005020.13,SKAP2,SKAP2,ENSP00000005587
47,ENSG00000005022,ENSG00000005022.6,SLC25A5,SLC25A5,ENSP00000360671
48,ENSG00000005075,ENSG00000005075.15,POLR2J,POLR2J,ENSP00000292614
49,ENSG00000005100,ENSG00000005100.13,DHX33,DHX33,ENSP00000225296
50,ENSG00000005156,ENSG00000005156.12,LIG3,LIG3,ENSP00000367787
51,ENSG00000005175,ENSG00000005175.10,RPAP3,RPAP3,ENSP00000005386
52,ENSG00000005187,ENSG00000005187.12,ACSM3,ACSM3,ENSP00000289416
53,ENSG00000005194,ENSG00000005194.15,CIAPIN1,CIAPIN1,ENSP00000377914
54,ENSG00000005238,ENSG00000005238.20,FAM214B,FAM214B,ENSP00000367823
55,ENSG00000005243,ENSG00000005243.10,COPZ2,COPZ2,ENSP00000480707
56,ENSG00000005302,ENSG00000005302.19,MSL3,MSL3,ENSP00000312244
57,ENSG00000005339,ENSG00000005339.15,CREBBP,CREBBP,ENSP00000262367
58,ENSG00000005436,ENSG00000005436.14,GCFC2,GCFC2,ENSP00000318690
59,ENSG00000005448,ENSG00000005448.17,WDR54,WDR54,ENSP00000006526
60,ENSG00000005469,ENSG00000005469.12,CROT,CROT,ENSP00000413575
61,ENSG00000005483,ENSG00000005483.21,KMT2E,KMT2E,ENSP00000312379
62,ENSG00000005486,ENSG00000005486.17,RHBDD2,RHBDD2,ENSP00000006777
63,ENSG00000005700,ENSG00000005700.15,IBTK,IBTK,ENSP00000305721
64,ENSG00000005801,ENSG00000005801.18,ZNF195,ZNF195,ENSP00000382511
65,ENSG00000005810,ENSG00000005810.19,MYCBP2,MYCBP2,ENSP00000444596
66,ENSG00000005812,ENSG00000005812.11,FBXL3,FBXL3,ENSP00000347834
67,ENSG00000005844,ENSG00000005844.19,ITGAL,ITGAL,ENSP00000349252
68,ENSG00000005882,ENSG00000005882.12,PDK2,PDK2,ENSP00000420927
69,ENSG00000005889,ENSG00000005889.16,ZFX,ZFX,ENSP00000368475
70,ENSG00000005893,ENSG00000005893.16,LAMP2,LAMP2,ENSP00000408411
71,ENSG00000006007,ENSG00000006007.12,GDE1,GDE1,ENSP00000261386
72,ENSG00000006025,ENSG00000006025.12,OSBPL7,OSBPL7,ENSP00000007414
73,ENSG00000006125,ENSG00000006125.18,AP2B1,AP2B1,ENSP00000482835
74,ENSG00000006194,ENSG00000006194.10,ZNF263,ZNF263,ENSP00000219069
75,ENSG00000006282,ENSG00000006282.21,SPATA20,SPATA20,ENSP00000006658
76,ENSG00000006327,ENSG00000006327.14,TNFRSF12A,TNFRSF12A,ENSP00000326737
77,ENSG00000006451,ENSG00000006451.8,RALA,RALA,ENSP00000005257
78,ENSG00000006459,ENSG00000006459.11,KDM7A,KDM7A,ENSP00000380692
79,ENSG00000006530,ENSG00000006530.18,AGK,AGK,ENSP00000347581
80,ENSG00000006555,ENSG00000006555.11,TTC22,TTC22,ENSP00000360323
81,ENSG00000006576,ENSG00000006576.16,PHTF2,PHTF2,ENSP00000403042
82,ENSG00000006607,ENSG00000006607.14,FARP2,FARP2,ENSP00000264042
83,ENSG00000006625,ENSG00000006625.18,GGCT,GGCT,ENSP00000275428
84,ENSG00000006634,ENSG00000006634.8,DBF4,DBF4,ENSP00000265728
85,ENSG00000006638,ENSG00000006638.13,TBXA2R,TBXA2R,ENSP00000393333
86,ENSG00000006652,ENSG00000006652.15,IFRD1,IFRD1,ENSP00000384477
87,ENSG00000006695,ENSG00000006695.12,COX10,COX10,ENSP00000261643
88,ENSG00000006712,ENSG00000006712.15,PAF1,PAF1,ENSP00000221265
89,ENSG00000006715,ENSG00000006715.16,VPS41,VPS41,ENSP00000309457
90,ENSG00000006744,ENSG00000006744.19,ELAC2,ELAC2,ENSP00000337445
91,ENSG00000006756,ENSG00000006756.16,ARSD,ARSD,ENSP00000370546
92,ENSG00000006757,ENSG00000006757.12,PNPLA4,PNPLA4,ENSP00000370430
93,ENSG00000006831,ENSG00000006831.10,ADIPOR2,ADIPOR2,ENSP00000349616
94,ENSG00000006837,ENSG00000006837.12,CDKL3,CDKL3,ENSP00000265334
95,ENSG00000007038,ENSG00000007038.11,PRSS21,PRSS21,ENSP00000005995
96,ENSG00000007047,ENSG00000007047.15,MARK4,MARK4,ENSP00000262891
97,ENSG00000007080,ENSG00000007080.11,CCDC124,CCDC124,ENSP00000471455
98,ENSG00000007129,ENSG00000007129.18,CEACAM21,CEACAM21,ENSP00000385739
99,ENSG00000007168,ENSG00000007168.14,PAFAH1B1,PAFAH1B1,ENSP00000380378
100,ENSG00000007202,ENSG00000007202.15,KIAA0100,KIAA0100,ENSP00000436773
101,ENSG00000007255,ENSG00000007255.10,TRAPPC6A,TRAPPC6A,ENSP00000006275
102,ENSG00000007264,ENSG00000007264.15,MATK,MATK,ENSP00000378485
103,ENSG00000007312,ENSG00000007312.13,CD79B,CD79B,ENSP00000376544
104,ENSG00000007341,ENSG00000007341.19,ST7L,ST7L,ENSP00000350734
105,ENSG00000007376,ENSG00000007376.8,RPUSD1,RPUSD1,ENSP00000455026
106,ENSG00000007392,ENSG00000007392.17,LUC7L,LUC7L,ENSP00000293872
107,ENSG00000007516,ENSG00000007516.14,BAIAP3,BAIAP3,ENSP00000324510
108,ENSG00000007520,ENSG00000007520.4,TSR3,TSR3,ENSP00000007390
109,ENSG00000007541,ENSG00000007541.17,PIGQ,PIGQ,ENSP00000026218
110,ENSG00000007923,ENSG00000007923.16,DNAJC11,DNAJC11,ENSP00000366800
111,ENSG00000007944,ENSG00000007944.15,MYLIP,MYLIP,ENSP00000349298
